2012.06.16 (168) 10:00:11.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 3.350  170.0  90  27  39   5.469   0.0   0.0  178
 3.350  172.5  90  27  36   3.906   0.0   0.0  171
 3.350  180.0  90  27  36  -2.344   0.0   0.0  168
 3.350  185.0  90  27  39  -5.469   0.0   0.0  189
 3.350  190.0  90  27  36   3.906   0.0   0.0  184
 3.350  192.5  90  27  42   5.469   0.0   0.0  184
 3.350  197.5  90  27  39   0.781 210.0  30.0  211
 3.350  200.0  90  27  36   0.781 210.0  30.0  213
 3.350  202.5  90  27  36   0.781 210.0  30.0  216
 3.350  205.0  90  27  36  -2.344   0.0   0.0  214
 3.350  207.5  90  27  39  -5.469   0.0   0.0  201
 3.350  210.0  90  27  36  -3.906   0.0   0.0  201
 3.350  212.5  90  27  36  -3.906 270.0  30.0  204
 3.350  220.0  90  27  36   5.469  90.0  30.0  214
 3.350  222.5  90  27  42   5.469  90.0  30.0  215
 3.350  225.0  90  27  36   5.469  90.0  30.0  217
 3.350  227.5  90  27  48  -5.469  30.0  30.0  219
 3.350  230.0  90  27  42  -5.469  90.0  30.0  220
 3.350  232.5  90  27  36  -3.906 270.0  30.0  220
 3.350  235.0  90  27  42  -5.469  90.0  30.0  226
 3.350  237.5  90  27  39  -5.469  90.0  30.0  229
 3.350  240.0  90  27  39  -5.469  30.0  30.0  230
 3.350  242.5  90  27  36  -5.469  30.0  30.0  234
 3.350  245.0  90  27  36   5.469  30.0  30.0  235
 3.350  247.5  90  27  39  -5.469  90.0  30.0  239
 3.350  250.0  90  27  39  -5.469  90.0  30.0  243
 3.350  252.5  90  27  36  -5.469  30.0  30.0  243
 3.350  255.0  90  27  42  -5.469  30.0  30.0  246
 3.350  257.5  90  27  39  -5.469  90.0  30.0  249
 3.350  260.0  90  27  36  -5.469  30.0  30.0  250
 3.350  262.5  90  27  36  -3.906  30.0  30.0  277
 3.350  265.0  90  27  39  -2.344  30.0  30.0  251
 3.350  267.5  90  27  36  -2.344  30.0  30.0  255
 3.350  167.5 -90  30  39   5.469  30.0  30.0  174
 3.350  170.0 -90  30  39  -5.469  30.0  30.0  174
 3.350  182.5 -90  30  39   3.906  90.0  30.0  177
 3.350  192.5 -90  30  39   5.469  90.0  30.0  184
 3.350  212.5 -90  30  39   3.906  30.0  30.0  220
 3.350  215.0 -90  30  39  -3.906  90.0  30.0  204
 3.350  230.0 -90  30  39  -5.469  90.0  30.0  221
 3.350  232.5 -90  30  39  -5.469  90.0  30.0  247
 3.400  177.5  90  30  42   3.906   0.0   0.0  171
 3.400  180.0  90  30  42   5.469   0.0   0.0  172
 3.400  182.5  90  30  39   5.469   0.0   0.0  177
 3.400  185.0  90  30  39   5.469   0.0   0.0  177
 3.400  187.5  90  30  39   5.469   0.0   0.0  180
 3.400  192.5  90  30  42   0.781 210.0  30.0  178
 3.400  195.0  90  30  48  -0.781 210.0  30.0  180
 3.400  197.5  90  30  42   0.781 210.0  30.0  211
 3.400  200.0  90  30  42  -5.469   0.0   0.0  186
 3.400  245.0  90  30  39  -5.469  90.0  30.0  237
 3.400  177.5 -90  30  42   3.906  90.0  30.0  172
 3.400  180.0 -90  30  42   5.469  90.0  30.0  173
 3.400  182.5 -90  30  42   5.469  90.0  30.0  176
 3.400  185.0 -90  30  39   5.469  90.0  30.0  177
 3.400  187.5 -90  30  39   5.469  90.0  30.0  180
 3.400  195.0 -90  30  39  -0.781  30.0  30.0  180
 3.400  197.5 -90  30  42   5.469  90.0  30.0  191
 3.450  187.5  90  30  39   3.906   0.0   0.0  181
 3.450  190.0  90  30  39   2.344   0.0   0.0  192
 3.450  192.5  90  30  48   0.781 210.0  30.0  206
